
======================================================================
SESSION START  2026-04-21 23:19:33
======================================================================
T00332 | bfs            | rule=DEFAULT_PLANNER                | path=  18 | nodes=  572 |  2.170ms |    | dir=(0, -1) | score=6
T00333 | bfs            | rule=DEFAULT_PLANNER                | path=  17 | nodes=  538 |  2.764ms |    | dir=(0, -1) | score=6
T00334 | bfs            | rule=DEFAULT_PLANNER                | path=  16 | nodes=  500 |  2.034ms |    | dir=(0, -1) | score=6
T00335 | bfs            | rule=DEFAULT_PLANNER                | path=  15 | nodes=  458 |  2.753ms |    | dir=(0, -1) | score=6
T00336 | bfs            | rule=DEFAULT_PLANNER                | path=  14 | nodes=  414 |  1.792ms |    | dir=(0, -1) | score=6
T00337 | bfs            | rule=DEFAULT_PLANNER                | path=  13 | nodes=  370 |  2.388ms |    | dir=(0, -1) | score=6
T00338 | bfs            | rule=DEFAULT_PLANNER                | path=  12 | nodes=  337 |  1.203ms |    | dir=(-1, 0) | score=6
T00339 | bfs            | rule=DEFAULT_PLANNER                | path=  11 | nodes=  289 |  1.920ms |    | dir=(-1, 0) | score=6
T00340 | bfs            | rule=DEFAULT_PLANNER                | path=  10 | nodes=  245 |  1.176ms |    | dir=(-1, 0) | score=6
T00341 | bfs            | rule=DEFAULT_PLANNER                | path=   9 | nodes=  203 |  1.726ms |    | dir=(-1, 0) | score=6
T00342 | bfs            | rule=DEFAULT_PLANNER                | path=   8 | nodes=  165 |  1.125ms |    | dir=(-1, 0) | score=6
T00343 | bfs            | rule=DEFAULT_PLANNER                | path=   7 | nodes=  132 |  0.518ms |    | dir=(-1, 0) | score=6
T00344 | bfs            | rule=DEFAULT_PLANNER                | path=   6 | nodes=  104 |  0.748ms |    | dir=(-1, 0) | score=6
T00345 | bfs            | rule=DEFAULT_PLANNER                | path=   5 | nodes=   78 |  0.849ms |    | dir=(-1, 0) | score=6
T00346 | bfs            | rule=DEFAULT_PLANNER                | path=   4 | nodes=   55 |  0.667ms |    | dir=(-1, 0) | score=6
T00347 | bfs            | rule=DEFAULT_PLANNER                | path=   3 | nodes=   36 |  0.587ms |    | dir=(-1, 0) | score=6
T00348 | bfs            | rule=DEFAULT_PLANNER                | path=   2 | nodes=   21 |  0.960ms |    | dir=(-1, 0) | score=6
T00349 | bfs            | rule=FOOD_ADJACENT                  | path=   0 | nodes=    0 |  0.549ms | FB | dir=(-1, 0) | score=6
EVENT  FOOD_EATEN score=7
T00350 | bfs            | rule=DEFAULT_PLANNER                | path=  23 | nodes=  689 |  2.786ms |    | dir=(0, 1) | score=7
T00351 | bfs            | rule=DEFAULT_PLANNER                | path=  22 | nodes=  668 |  2.528ms |    | dir=(0, 1) | score=7
T00352 | bfs            | rule=DEFAULT_PLANNER                | path=  21 | nodes=  650 |  3.102ms |    | dir=(0, 1) | score=7
T00353 | bfs            | rule=DEFAULT_PLANNER                | path=  20 | nodes=  628 |  3.018ms |    | dir=(0, 1) | score=7
T00354 | bfs            | rule=DEFAULT_PLANNER                | path=  19 | nodes=  602 |  2.210ms |    | dir=(0, 1) | score=7
T00355 | bfs            | rule=DEFAULT_PLANNER                | path=  18 | nodes=  572 |  3.270ms |    | dir=(0, 1) | score=7
T00356 | bfs            | rule=DEFAULT_PLANNER                | path=  17 | nodes=  538 |  2.171ms |    | dir=(0, 1) | score=7
T00357 | bfs            | rule=DEFAULT_PLANNER                | path=  16 | nodes=  500 |  2.807ms |    | dir=(0, 1) | score=7
T00358 | bfs            | rule=DEFAULT_PLANNER                | path=  15 | nodes=  458 |  2.473ms |    | dir=(0, 1) | score=7
T00359 | bfs            | rule=DEFAULT_PLANNER                | path=  14 | nodes=  414 |  1.266ms |    | dir=(0, 1) | score=7
T00360 | bfs            | rule=DEFAULT_PLANNER                | path=  13 | nodes=  370 |  1.536ms |    | dir=(0, 1) | score=7
T00361 | greedy         | rule=DEFAULT_PLANNER                | path=  12 | nodes=   37 |  0.645ms |    | dir=(1, 0) | score=7
T00362 | greedy         | rule=DEFAULT_PLANNER                | path=  11 | nodes=   34 |  0.651ms |    | dir=(1, 0) | score=7
T00363 | greedy         | rule=DEFAULT_PLANNER                | path=  10 | nodes=   31 |  0.767ms |    | dir=(1, 0) | score=7
T00364 | greedy         | rule=DEFAULT_PLANNER                | path=   9 | nodes=   28 |  0.574ms |    | dir=(1, 0) | score=7
T00365 | greedy         | rule=DEFAULT_PLANNER                | path=   8 | nodes=   25 |  0.581ms |    | dir=(1, 0) | score=7
T00366 | greedy         | rule=DEFAULT_PLANNER                | path=   7 | nodes=   22 |  0.436ms |    | dir=(1, 0) | score=7
T00367 | greedy         | rule=DEFAULT_PLANNER                | path=   6 | nodes=   19 |  0.682ms |    | dir=(1, 0) | score=7
T00368 | greedy         | rule=DEFAULT_PLANNER                | path=   5 | nodes=   16 |  0.807ms |    | dir=(1, 0) | score=7
T00369 | greedy         | rule=DEFAULT_PLANNER                | path=   4 | nodes=   13 |  0.898ms |    | dir=(1, 0) | score=7
T00370 | greedy         | rule=DEFAULT_PLANNER                | path=   3 | nodes=   10 |  0.383ms |    | dir=(1, 0) | score=7
T00371 | greedy         | rule=DEFAULT_PLANNER                | path=   2 | nodes=    7 |  0.496ms |    | dir=(1, 0) | score=7
T00372 | greedy         | rule=FOOD_ADJACENT                  | path=   0 | nodes=    0 |  0.422ms | FB | dir=(1, 0) | score=7
EVENT  FOOD_EATEN score=8
T00373 | greedy         | rule=DEFAULT_PLANNER                | path=  22 | nodes=   64 |  1.254ms |    | dir=(0, 1) | score=8
T00374 | greedy         | rule=DEFAULT_PLANNER                | path=  21 | nodes=   61 |  0.404ms |    | dir=(-1, 0) | score=8
T00375 | greedy         | rule=DEFAULT_PLANNER                | path=  20 | nodes=   59 |  0.997ms |    | dir=(0, 1) | score=8
T00376 | greedy         | rule=DEFAULT_PLANNER                | path=  19 | nodes=   57 |  0.649ms |    | dir=(0, 1) | score=8
T00377 | greedy         | rule=DEFAULT_PLANNER                | path=  18 | nodes=   54 |  2.221ms |    | dir=(0, 1) | score=8
T00378 | greedy         | rule=DEFAULT_PLANNER                | path=  17 | nodes=   51 |  0.690ms |    | dir=(0, 1) | score=8
T00379 | greedy         | rule=DEFAULT_PLANNER                | path=  16 | nodes=   48 |  0.945ms |    | dir=(0, 1) | score=8
T00380 | greedy         | rule=DEFAULT_PLANNER                | path=  15 | nodes=   45 |  0.418ms |    | dir=(0, 1) | score=8
T00381 | greedy         | rule=DEFAULT_PLANNER                | path=  14 | nodes=   42 |  0.923ms |    | dir=(0, 1) | score=8
T00382 | greedy         | rule=DEFAULT_PLANNER                | path=  13 | nodes=   39 |  0.960ms |    | dir=(0, 1) | score=8
T00383 | greedy         | rule=DEFAULT_PLANNER                | path=  12 | nodes=   37 |  0.664ms |    | dir=(-1, 0) | score=8
T00384 | greedy         | rule=DEFAULT_PLANNER                | path=  11 | nodes=   34 |  0.465ms |    | dir=(-1, 0) | score=8
T00385 | greedy         | rule=DEFAULT_PLANNER                | path=  10 | nodes=   31 |  0.573ms |    | dir=(-1, 0) | score=8
T00386 | greedy         | rule=DEFAULT_PLANNER                | path=   9 | nodes=   28 |  1.347ms |    | dir=(-1, 0) | score=8
T00387 | greedy         | rule=DEFAULT_PLANNER                | path=   8 | nodes=   25 |  0.369ms |    | dir=(-1, 0) | score=8
T00388 | greedy         | rule=DEFAULT_PLANNER                | path=   7 | nodes=   22 |  0.579ms |    | dir=(-1, 0) | score=8
T00389 | greedy         | rule=DEFAULT_PLANNER                | path=   6 | nodes=   19 |  0.234ms |    | dir=(-1, 0) | score=8
T00390 | greedy         | rule=DEFAULT_PLANNER                | path=   5 | nodes=   16 |  0.603ms |    | dir=(-1, 0) | score=8
T00391 | greedy         | rule=DEFAULT_PLANNER                | path=   4 | nodes=   13 |  0.886ms |    | dir=(-1, 0) | score=8
T00392 | greedy         | rule=DEFAULT_PLANNER                | path=   3 | nodes=   10 |  0.554ms |    | dir=(-1, 0) | score=8
T00393 | greedy         | rule=DEFAULT_PLANNER                | path=   2 | nodes=    7 |  0.483ms |    | dir=(-1, 0) | score=8
T00394 | greedy         | rule=FOOD_ADJACENT                  | path=   0 | nodes=    0 |  0.599ms | FB | dir=(-1, 0) | score=8
EVENT  FOOD_EATEN score=9
T00395 | greedy         | rule=DEFAULT_PLANNER                | path=  15 | nodes=   45 |  0.543ms |    | dir=(-1, 0) | score=9
T00396 | greedy         | rule=DEFAULT_PLANNER                | path=  14 | nodes=   42 |  1.068ms |    | dir=(-1, 0) | score=9
T00397 | greedy         | rule=DEFAULT_PLANNER                | path=  13 | nodes=   39 |  0.742ms |    | dir=(-1, 0) | score=9
T00398 | greedy         | rule=DEFAULT_PLANNER                | path=  12 | nodes=   36 |  0.896ms |    | dir=(-1, 0) | score=9
T00399 | greedy         | rule=DEFAULT_PLANNER                | path=  11 | nodes=   33 |  0.612ms |    | dir=(-1, 0) | score=9
T00400 | greedy         | rule=DEFAULT_PLANNER                | path=  10 | nodes=   30 |  0.870ms |    | dir=(-1, 0) | score=9
T00401 | greedy         | rule=DEFAULT_PLANNER                | path=   9 | nodes=   27 |  0.608ms |    | dir=(-1, 0) | score=9
T00402 | greedy         | rule=DEFAULT_PLANNER                | path=   8 | nodes=   24 |  0.617ms |    | dir=(-1, 0) | score=9
T00403 | greedy         | rule=DEFAULT_PLANNER                | path=   7 | nodes=   21 |  0.578ms |    | dir=(-1, 0) | score=9
T00404 | greedy         | rule=DEFAULT_PLANNER                | path=   6 | nodes=   18 |  0.637ms |    | dir=(-1, 0) | score=9
T00405 | greedy         | rule=DEFAULT_PLANNER                | path=   5 | nodes=   15 |  0.345ms |    | dir=(-1, 0) | score=9
T00406 | greedy         | rule=DEFAULT_PLANNER                | path=   4 | nodes=   13 |  0.561ms |    | dir=(0, -1) | score=9
T00407 | greedy         | rule=DEFAULT_PLANNER                | path=   3 | nodes=   10 |  0.745ms |    | dir=(0, -1) | score=9
T00408 | greedy         | rule=DEFAULT_PLANNER                | path=   2 | nodes=    7 |  1.089ms |    | dir=(0, -1) | score=9
T00409 | greedy         | rule=FOOD_ADJACENT                  | path=   0 | nodes=    0 |  0.306ms | FB | dir=(0, -1) | score=9
EVENT  FOOD_EATEN score=10
T00410 | greedy         | rule=DEFAULT_PLANNER                | path=  20 | nodes=   49 |  0.665ms |    | dir=(1, 0) | score=10
T00411 | greedy         | rule=DEFAULT_PLANNER                | path=  19 | nodes=   46 |  0.890ms |    | dir=(0, 1) | score=10
T00412 | greedy         | rule=DEFAULT_PLANNER                | path=  18 | nodes=   44 |  0.766ms |    | dir=(0, 1) | score=10
T00413 | greedy         | rule=DEFAULT_PLANNER                | path=  17 | nodes=   43 |  0.807ms |    | dir=(0, 1) | score=10
T00414 | greedy         | rule=DANGER_AHEAD_USE_PLANNER       | path=  16 | nodes=   43 |  0.650ms |    | dir=(1, 0) | score=10
T00415 | greedy         | rule=DEFAULT_PLANNER                | path=  15 | nodes=   43 |  1.157ms |    | dir=(1, 0) | score=10
T00416 | greedy         | rule=DEFAULT_PLANNER                | path=  14 | nodes=   42 |  0.580ms |    | dir=(0, 1) | score=10
T00417 | greedy         | rule=DEFAULT_PLANNER                | path=  13 | nodes=   39 |  0.511ms |    | dir=(0, 1) | score=10
T00418 | greedy         | rule=DEFAULT_PLANNER                | path=  12 | nodes=   36 |  0.787ms |    | dir=(0, 1) | score=10
T00419 | greedy         | rule=DEFAULT_PLANNER                | path=  11 | nodes=   33 |  0.439ms |    | dir=(0, 1) | score=10
T00420 | greedy         | rule=DEFAULT_PLANNER                | path=  10 | nodes=   31 |  0.593ms |    | dir=(1, 0) | score=10
T00421 | greedy         | rule=DEFAULT_PLANNER                | path=   9 | nodes=   28 |  0.369ms |    | dir=(1, 0) | score=10
T00422 | greedy         | rule=DEFAULT_PLANNER                | path=   8 | nodes=   25 |  0.546ms |    | dir=(1, 0) | score=10
T00423 | greedy         | rule=DEFAULT_PLANNER                | path=   7 | nodes=   22 |  0.593ms |    | dir=(1, 0) | score=10
T00424 | greedy         | rule=DEFAULT_PLANNER                | path=   6 | nodes=   19 |  0.577ms |    | dir=(1, 0) | score=10
T00425 | greedy         | rule=DEFAULT_PLANNER                | path=   5 | nodes=   16 |  0.463ms |    | dir=(1, 0) | score=10
T00426 | greedy         | rule=DEFAULT_PLANNER                | path=   4 | nodes=   13 |  0.562ms |    | dir=(1, 0) | score=10
T00427 | greedy         | rule=DEFAULT_PLANNER                | path=   3 | nodes=   10 |  0.533ms |    | dir=(1, 0) | score=10
T00428 | greedy         | rule=DEFAULT_PLANNER                | path=   2 | nodes=    7 |  0.819ms |    | dir=(1, 0) | score=10
T00429 | greedy         | rule=FOOD_ADJACENT                  | path=   0 | nodes=    0 |  0.571ms | FB | dir=(1, 0) | score=10
EVENT  FOOD_EATEN score=11
T00430 | greedy         | rule=DEFAULT_PLANNER                | path=   9 | nodes=   27 |  0.996ms |    | dir=(0, 1) | score=11
T00431 | greedy         | rule=DEFAULT_PLANNER                | path=   8 | nodes=   24 |  0.660ms |    | dir=(0, 1) | score=11
T00432 | greedy         | rule=DEFAULT_PLANNER                | path=   7 | nodes=   21 |  0.790ms |    | dir=(0, 1) | score=11
T00433 | greedy         | rule=DEFAULT_PLANNER                | path=   6 | nodes=   18 |  0.548ms |    | dir=(0, 1) | score=11
T00434 | greedy         | rule=DEFAULT_PLANNER                | path=   5 | nodes=   15 |  0.213ms |    | dir=(0, 1) | score=11
T00435 | greedy         | rule=DEFAULT_PLANNER                | path=   4 | nodes=   13 |  0.524ms |    | dir=(1, 0) | score=11
